quarter,category,amount
2024Q1,salaries,2213000
2024Q1,marketing,643000
2024Q1,equipment,428000
2024Q1,facilities,286000
2024Q2,salaries,2333000
2024Q2,marketing,677000
2024Q2,equipment,451000
2024Q2,facilities,301000
2024Q3,salaries,2427000
2024Q3,marketing,705000
2024Q3,equipment,470000
2024Q3,facilities,313000
2024Q4,salaries,2592000
2024Q4,marketing,752000
2024Q4,equipment,502000
2024Q4,facilities,334000
2025Q1,salaries,2663000
2025Q1,marketing,773000
2025Q1,equipment,515000
2025Q1,facilities,344000
2025Q2,salaries,2734000
2025Q2,marketing,794000
2025Q2,equipment,529000
2025Q2,facilities,353000
2025Q3,salaries,2864000
2025Q3,marketing,832000
2025Q3,equipment,554000
2025Q3,facilities,370000
2025Q4,salaries,3026000
2025Q4,marketing,878000
2025Q4,equipment,586000
2025Q4,facilities,390000
